AREAS,TECHNOLOGIES,energyCost,margvarCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
IT,WindOffShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
IT,HydroRiver,0.0,0.0,108145.0,0,10650.0,10650.0,0.0,0.0,0,0
IT,Solar,0.0,0.0,182942.0,0,20865.3,20865.3,0.0,0.0,0,0
IT,HydroReservoir,0.0,0.0,108145.0,1800,3857.0,3857.0,0.0,0.0,0,0
IT,Coal,46.87,0.0005,180129.0,0,4851.0,4851.0,0.15,0.15,0,0
IT,Lignite,0.0,0.0005,180129.0,0,0.0,0.0,0.15,0.15,0,0
IT,Biomass,33.43,0.0005,97902.17,0,1538.0,1538.0,0.15,0.15,0,0
IT,OldNuke,0.0,0.0,1e+20,0,0.0,0.0,0.08,0.08,0,0
IT,NewNuke,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
IT,curtailment,5000.0,0.0,0.0,0,20000.0,20000.0,0.0,0.0,0,0
BE,CCG,33.91,0.0005,111947.62,0,3010.0,3010.0,0.35,0.35,0,0
BE,TAC,45.75,0.0,111947.62,0,2270.0,2270.0,0.0,0.0,0,0
BE,WindOnShore,0.0,0.0,71532.0,0,2248.08,2248.08,0.0,0.0,0,0
BE,WindOffShore,0.0,0.0,123488.0,0,1548.2,1548.2,0.0,0.0,0,0
BE,HydroRiver,0.0,0.0,108145.0,0,172.49,172.49,0.0,0.0,0,0
BE,Solar,0.0,0.0,51256.0,0,3369.05,3369.05,0.0,0.0,0,0
BE,Biomass,37.36,0.0005,240523.0,0,619.25,619.25,0.15,0.15,0,0
BE,OldNuke,17.87,0.0,140843.0,0,5943.0,5943.0,0.08,0.08,0,0
BE,NewNuke,17.87,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
BE,HydroReservoir,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
BE,Coal,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
BE,Lignite,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
BE,curtailment,5000.0,0.0,0.0,0,15000.0,15000.0,0.0,0.0,0,0
ES,CCG,35.08,0.0005,89702.0,0,30383.7,30383.7,0.35,0.35,0,0
ES,TAC,45.86,0.0,89702.0,0,0.0,0.0,0.0,0.0,0,0
ES,Coal,43.71,0.0005,145547.95,0,9560.7,9560.7,0.15,0.15,0,0
ES,Lignite,26.49,0.0005,145547.95,0,0.0,0.0,0.15,0.15,0,0
ES,WindOnShore,0.0,0.0,104480.0,0,22960.6,22960.6,0.0,0.0,0,0
ES,WindOffShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
ES,HydroRiver,0.0,0.0,101256.0,0,1156.2,1156.2,0.0,0.0,0,0
ES,Solar,0.0,0.0,182942.0,0,6751.1,6751.1,0.0,0.0,0,0
ES,HydroReservoir,0.0,0.0,101256.0,1300,19145.8,19145.8,0.0,0.0,0,0
ES,Biomass,33.43,0.0005,240523.0,0,507.0,507.0,0.15,0.15,0,0
ES,OldNuke,17.87,0.0,140843.0,0,7117.2,7117.2,0.08,0.08,0,0
ES,NewNuke,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
ES,curtailment,5000.0,0.0,0.0,0,20000.0,20000.0,0.0,0.0,0,0
